p,h,o,n,e,n,u,m,b,e,r,.,o,n,l, , , , , , , , , , , , , , , , , 
p,k,p,a,r,a,i,s,o,.,c,o,m, , , , , , , , , , , , , , , , , , , 
s,h,i,r,i,t,s,u,e,b,i,c,h,u,.,j,p, , , , , , , , , , , , , , , 
f,f,1,4,c,h,a,n,n,e,l,.,n,e,t, , , , , , , , , , , , , , , , , 
p,u,b,l,i,c,t,h,e,a,t,e,r,.,o,r,g, , , , , , , , , , , , , , , 
d,a,v,i,v,i,e,n,d,a,.,c,r, , , , , , , , , , , , , , , , , , , 
h,i,j,a,b,e,n,k,a,.,c,o,m, , , , , , , , , , , , , , , , , , , 
m,o,v,i,e,s,9,0,0,.,c,o,m, , , , , , , , , , , , , , , , , , , 
l,i,v,e,s,u,p,p,o,r,t,i,.,c,o,m, , , , , , , , , , , , , , , , 
d,r,e,a,m,r,o,b,o,t,.,d,e, , , , , , , , , , , , , , , , , , , 
t,e,x,t,2,s,p,e,e,c,h,.,o,r,g, , , , , , , , , , , , , , , , , 
d,a,t,a,m,a,t,i,c,s,.,c,o,m, , , , , , , , , , , , , , , , , , 
3,m,t,.,c,o,m,.,c,n, , , , , , , , , , , , , , , , , , , , , , 
d,i,z,i,o,n,a,r,i,o,-,i,t,a,l,i,a,n,o,.,i,t, , , , , , , , , , 
p,h,p,d,o,c,.,o,r,g, , , , , , , , , , , , , , , , , , , , , , 
m,a,c,c,h,i,a,l,a,b,e,l,.,c,o,m, , , , , , , , , , , , , , , , 
v,g,2,4,.,g,r, , , , , , , , , , , , , , , , , , , , , , , , , 
g,i,g,a,s,e,n,t,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
k,o,d,e,v,e,l,o,p,m,e,n,t,.,n,l, , , , , , , , , , , , , , , , 
r,i,i,g,i,t,e,a,t,a,j,a,.,e,e, , , , , , , , , , , , , , , , , 
s,d,e,l,a,y,s,a,m,-,s,v,o,i,m,i,r,u,k,a,m,i,.,r,u, , , , , , , 
m,a,a,a,l,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
t,e,j,a,r,a,t,n,e,w,s,.,c,o,m, , , , , , , , , , , , , , , , , 
f,i,v,e,s,t,a,r,s,.,c,o,m, , , , , , , , , , , , , , , , , , , 
n,t,t,g,a,m,e,o,n,l,i,n,e,.,c,o,m, , , , , , , , , , , , , , , 
a,s,k,t,h,i,s,.,o,r,g, , , , , , , , , , , , , , , , , , , , , 
b,i,r,k,e,n,s,t,o,c,k,.,c,o,m, , , , , , , , , , , , , , , , , 
x,n,-,-,g,n,n,h,a,b,e,r,i,-,q,9,a,b,.,c,o,m, , , , , , , , , , 
a,n,d,r,o,i,d,p,r,o,.,n,e,t, , , , , , , , , , , , , , , , , , 
p,r,o,d,a,m,a,n,.,r,u, , , , , , , , , , , , , , , , , , , , , 
i,n,s,u,r,a,n,c,e,-,f,o,r,u,m,s,.,n,e,t, , , , , , , , , , , , 
e,-,t,r,a,n,s,a,c,t,i,o,n,s,.,f,r, , , , , , , , , , , , , , , 
a,f,f,a,.,a,z, , , , , , , , , , , , , , , , , , , , , , , , , 
l,a,w,d,e,s,k,.,c,o,.,k,r, , , , , , , , , , , , , , , , , , , 
n,a,r,e,s,h,i,t,.,i,n, , , , , , , , , , , , , , , , , , , , , 
s,m,a,r,t,p,h,o,t,o,.,b,e, , , , , , , , , , , , , , , , , , , 
0,0,c,f,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , , 
f,o,r,d,4,a,r,a,b,.,c,o,m, , , , , , , , , , , , , , , , , , , 
f,t,e,c,.,c,o,m,.,b,r, , , , , , , , , , , , , , , , , , , , , 
h,a,l,a,s,t,a,n,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
h,a,s,e,e,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
f,e,t,t,s,p,i,e,l,e,n,.,d,e, , , , , , , , , , , , , , , , , , 
3,1,5,8,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , , 
i,d,x,.,c,o,m,.,c,n, , , , , , , , , , , , , , , , , , , , , , 
s,h,u,y,u,e,w,u,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
a,2,z,b,o,o,k,m,a,r,k,s,.,c,o,m, , , , , , , , , , , , , , , , 
w,m,t,r,a,n,s,f,e,r,.,b,y, , , , , , , , , , , , , , , , , , , 
f,u,n,d,b,o,x,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
e,n,t,g,i,f,t,u,n,g,s,r,a,t,g,e,b,e,r,.,c,o,m, , , , , , , , , 
f,u,r,s,y,s,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
n,i,c,k,l,e,s,.,d,e, , , , , , , , , , , , , , , , , , , , , , 
n,e,a,r,m,a,p,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
m,i,e,r,1,2,3,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
s,o,n,i,c,m,o,o,v,.,c,o,m, , , , , , , , , , , , , , , , , , , 
c,o,m,m,e,n,t,r,e,p,a,r,e,r,.,c,o,m, , , , , , , , , , , , , , 
g,l,o,b,a,l,-,m,a,g,.,c,o,m, , , , , , , , , , , , , , , , , , 
c,o,s,b,o,t,.,c,n, , , , , , , , , , , , , , , , , , , , , , , 
w,c,s,.,o,r,g, , , , , , , , , , , , , , , , , , , , , , , , , 
a,-,p,e,s,n,i,.,o,r,g, , , , , , , , , , , , , , , , , , , , , 
i,n,d,i,e,g,a,m,e,s,.,c,o,m, , , , , , , , , , , , , , , , , , 
r,i,c,e,f,o,r,c,e,.,c,o,m, , , , , , , , , , , , , , , , , , , 
e,v,e,w,h,o,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
s,t,u,d,e,n,t,j,o,b,.,e,s, , , , , , , , , , , , , , , , , , , 
