h,l,z,h,a,n,s,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
v,s,e,-,z,a,d,a,r,m,a,.,r,u, , , , , , , , , , , , , , , , , , 
a,u,t,o,-,l,a,n,k,a,.,c,o,m, , , , , , , , , , , , , , , , , , 
l,o,r,e,a,l,p,a,r,i,s,.,p,l, , , , , , , , , , , , , , , , , , 
d,u,r,a,n,g,o,.,g,o,b,.,m,x, , , , , , , , , , , , , , , , , , 
d,i,r,e,c,t,m,o,v,i,e,d,l,.,c,o,m, , , , , , , , , , , , , , , 
r,e,p,u,b,l,i,k,p,o,s,.,c,o,m, , , , , , , , , , , , , , , , , 
x,b,i,g,g,a,y,c,o,c,k,.,c,o,m, , , , , , , , , , , , , , , , , 
c,h,i,n,a,d,a,i,l,y,.,c,o,m, , , , , , , , , , , , , , , , , , 
b,a,c,a,w,o,r,l,d,.,o,r,g, , , , , , , , , , , , , , , , , , , 
p,h,i,m,v,i,d,e,o,.,o,r,g, , , , , , , , , , , , , , , , , , , 
b,8,8,a,g,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
t,v,6,t,n,t,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
t,o,p,h,e,a,l,t,h,y,l,i,f,e,.,c,o,m, , , , , , , , , , , , , , 
p,o,w,e,r,p,y,x,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
t,h,e,c,o,a,s,t,.,c,a, , , , , , , , , , , , , , , , , , , , , 
f,r,e,e,f,u,c,k,i,n,g,t,o,d,a,y,.,c,o,m, , , , , , , , , , , , 
2,t,o,u,t,2,r,i,e,n,.,f,r, , , , , , , , , , , , , , , , , , , 
w,e,b,s,t,e,r,h,a,l,l,.,c,o,m, , , , , , , , , , , , , , , , , 
i,r,a,n,c,n,e,t,.,b,i,z, , , , , , , , , , , , , , , , , , , , 
m,i,d,v,a,l,l,e,y,.,c,o,m,.,m,y, , , , , , , , , , , , , , , , 
l,e,x,r,i,c,h,5,.,o,r,g, , , , , , , , , , , , , , , , , , , , 
t,r,e,e,s,-,m,o,n,e,y,.,r,u, , , , , , , , , , , , , , , , , , 
p,h,o,t,o,m,a,n,a,g,e,r,.,c,o,m,.,b,r, , , , , , , , , , , , , 
3,2,1,.,l,a, , , , , , , , , , , , , , , , , , , , , , , , , , 
l,i,v,e,-,a,n,d,-,l,e,a,r,n,.,r,u, , , , , , , , , , , , , , , 
h,o,l,i,s,t,i,c,s,q,u,i,d,.,c,o,m, , , , , , , , , , , , , , , 
