s,a,b,a,n,g,n,e,t,.,c,o,.,k,r, , , , , , , , , , , , , , , , , 
d,j,c,i,t,y,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
m,a,r,k,i,t,c,d,n,.,c,o,m, , , , , , , , , , , , , , , , , , , 
l,o,s,4,0,.,c,o,m,.,a,r, , , , , , , , , , , , , , , , , , , , 
s,t,r,e,e,t,s,c,a,p,e,.,c,o,m, , , , , , , , , , , , , , , , , 
d,e,s,p,r,e,n,e,u,r,.,c,o,m, , , , , , , , , , , , , , , , , , 
p,j,b,b,s,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
5,i,d,e,v,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
s,p,e,c,i,f,i,l,e,.,c,o,.,z,a, , , , , , , , , , , , , , , , , 
d,y,n,a,p,i,s,.,i,n,f,o, , , , , , , , , , , , , , , , , , , , 
b,u,s,i,n,e,s,s,c,a,r,d,j,o,u,r,n,a,l,.,c,o,m, , , , , , , , , 
h,a,i,j,i,a,.,c,o,m,.,c,n, , , , , , , , , , , , , , , , , , , 
e,x,p,e,d,i,a,f,o,r,t,d,.,c,o,m, , , , , , , , , , , , , , , , 
e,f,e,s,c,o,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
n,e,t,s,p,o,r,8,.,t,v, , , , , , , , , , , , , , , , , , , , , 
m,o,d,w,e,d,d,i,n,g,.,c,o,m, , , , , , , , , , , , , , , , , , 
s,c,i,e,n,c,e,o,f,p,e,o,p,l,e,.,c,o,m, , , , , , , , , , , , , 
e,-,c,o,n,t,e,s,t,.,g,r, , , , , , , , , , , , , , , , , , , , 
f,i,l,o,s,o,f,i,a,.,o,r,g, , , , , , , , , , , , , , , , , , , 
p,i,x,e,l,p,l,u,s,.,r,u, , , , , , , , , , , , , , , , , , , , 
y,u,e,w,e,.,c,n, , , , , , , , , , , , , , , , , , , , , , , , 
c,o,a,c,h,u,p,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
d,o,w,n,l,o,a,d,m,i,n,g,.,b,i,z, , , , , , , , , , , , , , , , 
1,7,7,6,.,v,c, , , , , , , , , , , , , , , , , , , , , , , , , 
h,e,n,b,i,t,c,o,i,n,.,c,o,m, , , , , , , , , , , , , , , , , , 
p,i,x,e,l,o,v,e,l,y,.,c,o,m, , , , , , , , , , , , , , , , , , 
m,e,n,e,t,.,c,o,m,.,c,n, , , , , , , , , , , , , , , , , , , , 
n,r,i,.,c,o,.,j,p, , , , , , , , , , , , , , , , , , , , , , , 
c,h,i,m,b,o,t,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
c,o,n,s,u,m,e,r,b,a,r,o,m,e,t,e,r,.,c,o,m, , , , , , , , , , , 
e,-,f,a,n,c,l,u,b,.,c,o,m, , , , , , , , , , , , , , , , , , , 
c,a,r,d,m,a,n,a,g,e,r,.,c,o,m, , , , , , , , , , , , , , , , , 
e,l,c,o,d,i,g,o,a,s,c,i,i,.,c,o,m,.,a,r, , , , , , , , , , , , 
b,i,o,l,o,g,i,a,.,e,d,u,.,a,r, , , , , , , , , , , , , , , , , 
r,a,p,i,d,z,o,n,a,.,c,o,m, , , , , , , , , , , , , , , , , , , 
a,l,l,e,r,g,a,n,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
t,h,e,c,o,d,i,n,g,f,o,r,u,m,s,.,c,o,m, , , , , , , , , , , , , 
t,h,e,p,h,o,t,o,f,o,r,u,m,.,c,o,m, , , , , , , , , , , , , , , 
i,s,h,a,n,s,o,n,g,.,c,o,m, , , , , , , , , , , , , , , , , , , 
k,o,o,k,o,o,.,i,n, , , , , , , , , , , , , , , , , , , , , , , 
p,r,e,r,e,n,d,e,r,.,i,o, , , , , , , , , , , , , , , , , , , , 
h,a,g,a,l,o,u,s,t,e,d,m,i,s,m,o,.,c,l, , , , , , , , , , , , , 
e,l,i,g,e,v,e,g,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
a,h,o,l,d,u,s,a,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
w,e,b,s,t,a,r,-,a,u,t,o,.,c,o,m, , , , , , , , , , , , , , , , 
m,o,x,t,r,a,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
s,t,r,o,k,e,a,s,s,o,c,i,a,t,i,o,n,.,o,r,g, , , , , , , , , , , 
s,h,o,w,c,a,s,e,c,i,n,e,m,a,s,.,c,o,m, , , , , , , , , , , , , 
p,a,p,a,r,a,z,z,i,a,c,c,e,s,s,o,r,i,e,s,.,c,o,m, , , , , , , , 
t,h,e,g,r,i,d,.,i,o, , , , , , , , , , , , , , , , , , , , , , 
s,o,l,o,d,e,s,c,a,r,g,a,.,c,o,m, , , , , , , , , , , , , , , , 
i,n,t,e,r,n,e,t,m,o,j,s,t,e,r,.,c,o,m, , , , , , , , , , , , , 
g,r,a,v,i,t,y,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
d,r,e,a,m,h,o,r,s,e,.,c,o,m, , , , , , , , , , , , , , , , , , 
x,y,r,s,k,s,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
s,a,m,i,y,s,o,k,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
l,a,y,o,u,t,r,e,a,d,y,.,c,o,m, , , , , , , , , , , , , , , , , 
u,p,g,u,a,r,d,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
t,o,c,o,m,.,o,r,.,j,p, , , , , , , , , , , , , , , , , , , , , 
l,t,t,c,.,o,r,g,.,t,w, , , , , , , , , , , , , , , , , , , , , 
n,u,e,v,a,m,e,n,t,e,s,.,n,e,t, , , , , , , , , , , , , , , , , 
t,e,c,h,m,o,r,a,n,.,c,o,m, , , , , , , , , , , , , , , , , , , 
a,b,i,z,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , , 
j,o,r,n,a,l,c,r,u,z,e,i,r,o,.,c,o,m,.,b,r, , , , , , , , , , , 
h,i,s,t,o,r,y,.,o,r,g, , , , , , , , , , , , , , , , , , , , , 
k,l,e,i,n,a,n,z,e,i,g,e,n,.,d,e, , , , , , , , , , , , , , , , 
e,m,p,l,e,o,s,p,u,b,l,i,c,o,s,.,c,l, , , , , , , , , , , , , , 
s,b,h,y,d,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
c,e,k,p,r,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
w,e,h,a,v,e,y,o,u,r,d,a,t,a,.,c,o,m, , , , , , , , , , , , , , 
g,o,l,e,s,t,a,n,p,.,i,r, , , , , , , , , , , , , , , , , , , , 
i,n,v,e,n,t,w,i,t,h,p,y,t,h,o,n,.,c,o,m, , , , , , , , , , , , 
b,u,y,r,e,k,l,a,m,a,.,r,u, , , , , , , , , , , , , , , , , , , 
v,a,n,t,a,a,.,f,i, , , , , , , , , , , , , , , , , , , , , , , 
b,a,t,m,a,n,o,n,l,i,n,e,l,a,t,i,n,o,.,c,o,m,.,m,x, , , , , , , 
c,a,a,a,.,c,n, , , , , , , , , , , , , , , , , , , , , , , , , 
c,a,r,d,h,a,u,s,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
g,r,a,n,i,r,u,.,i,n,f,o, , , , , , , , , , , , , , , , , , , , 
i,i,j,4,u,.,o,r,.,j,p, , , , , , , , , , , , , , , , , , , , , 
r,n,k,.,r,u, , , , , , , , , , , , , , , , , , , , , , , , , , 
p,o,r,n,x,2,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
s,u,n,d,a,y,a,d,e,l,a,j,a,b,l,o,g,.,c,o,m, , , , , , , , , , , 
y,m,i,i,t,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
g,r,u,p,o,j,o,l,y,.,c,o,m, , , , , , , , , , , , , , , , , , , 
g,e,r,a,d,o,r,d,e,c,p,f,.,o,r,g, , , , , , , , , , , , , , , , 
h,a,r,i,a,n,j,o,g,j,a,.,c,o,m, , , , , , , , , , , , , , , , , 
t,h,i,s,a,m,a,z,e,d,m,e,.,c,o,m, , , , , , , , , , , , , , , , 
a,z,z,-,o,v,e,r,l,o,a,d,.,n,e,t, , , , , , , , , , , , , , , , 
n,c,b,c,.,n,i,c,.,i,n, , , , , , , , , , , , , , , , , , , , , 
p,o,t,r,i,x,b,l,o,g,.,c,o,m, , , , , , , , , , , , , , , , , , 
c,r,e,a,t,i,v,e,b,o,o,m,.,c,o,m, , , , , , , , , , , , , , , , 
m,a,n,u,a,l,s,d,i,r,.,r,u, , , , , , , , , , , , , , , , , , , 
m,u,v,i,w,o,r,l,d,.,u,s, , , , , , , , , , , , , , , , , , , , 
w,h,9,8,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , , 
m,i,s,t,y,.,n,e,.,j,p, , , , , , , , , , , , , , , , , , , , , 
b,l,u,e,t,i,c,k,e,t,.,c,o,m,.,b,r, , , , , , , , , , , , , , , 
u,t,f,s,m,.,c,l, , , , , , , , , , , , , , , , , , , , , , , , 
v,s,3,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , , , 
n,o,t,i,c,i,a,s,b,a,r,q,u,i,s,i,m,e,t,o,.,c,o,m, , , , , , , , 
f,o,r,c,a,p,o,r,t,u,g,a,l,.,c,o,m,.,p,t, , , , , , , , , , , , 
w,e,b,c,r,e,a,t,e,.,m,e, , , , , , , , , , , , , , , , , , , , 
h,t,.,h,r, , , , , , , , , , , , , , , , , , , , , , , , , , , 
d,o,w,n,l,o,a,d,-,s,o,u,n,d,t,r,a,c,k,s,.,c,o,m, , , , , , , , 
i,r,q,u,e,s,t,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
b,l,u,e,s,o,f,t,.,c,o,m,.,b,r, , , , , , , , , , , , , , , , , 
a,d,v,e,n,t,u,r,e,r,v,.,n,e,t, , , , , , , , , , , , , , , , , 
b,r,a,c,u,.,a,c,.,b,d, , , , , , , , , , , , , , , , , , , , , 
k,i,n,g,d,o,m,.,o,r,.,j,p, , , , , , , , , , , , , , , , , , , 
s,l,o,b,o,d,n,a,-,b,o,s,n,a,.,b,a, , , , , , , , , , , , , , , 
u,r,m,i,a,.,a,c,.,i,r, , , , , , , , , , , , , , , , , , , , , 
f,a,m,i,l,y,w,a,t,c,h,d,o,g,.,u,s, , , , , , , , , , , , , , , 
x,i,h,u,o,j,i,e,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
b,o,a,t,d,e,s,i,g,n,.,n,e,t, , , , , , , , , , , , , , , , , , 
g,o,t,u,b,e,.,m,e, , , , , , , , , , , , , , , , , , , , , , , 
m,b,f,i,n,a,n,c,i,a,l,.,c,o,m, , , , , , , , , , , , , , , , , 
m,o,d,2,0,.,i,r, , , , , , , , , , , , , , , , , , , , , , , , 
j,u,s,t,l,u,x,e,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
