f,u,n,e,r,a,l,h,o,m,e,h,o,s,t,i,n,g,.,o,r,g, , , , , , , , , , 
u,s,a,o,n,l,i,n,e,m,a,l,l,.,n,e,t, , , , , , , , , , , , , , , 
l,i,x,f,i,x,.,c,o,.,i,l, , , , , , , , , , , , , , , , , , , , 
u,t,o,p,i,a,n,e,t,.,o,r,g, , , , , , , , , , , , , , , , , , , 
p,h,a,k,u,.,n,e,t, , , , , , , , , , , , , , , , , , , , , , , 
h,n,l,b,o,t,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
b,r,i,n,g,t,h,e,n,o,i,s,e,u,k,.,c,o,m, , , , , , , , , , , , , 
j,a,v,.,c,o,u,n,t,r,y, , , , , , , , , , , , , , , , , , , , , 
s,i,n,g,p,o,i,n,t,.,d,e, , , , , , , , , , , , , , , , , , , , 
m,o,d,d,i,s,p,l,a,y,s,.,c,o,m, , , , , , , , , , , , , , , , , 
e,m,e,e,t,s,.,j,p, , , , , , , , , , , , , , , , , , , , , , , 
c,s,v,m,o,t,o,r,.,n,e,t, , , , , , , , , , , , , , , , , , , , 
t,h,i,n,s,l,i,c,e,s,.,c,o,m, , , , , , , , , , , , , , , , , , 
u,p,t,o,n,b,a,s,s,.,c,o,m, , , , , , , , , , , , , , , , , , , 
g,b,o,-,w,o,r,l,d,.,r,u, , , , , , , , , , , , , , , , , , , , 
v,i,t,r,i,n,a,.,k,g, , , , , , , , , , , , , , , , , , , , , , 
b,u,y,e,r,c,h,o,i,c,e,.,i,n, , , , , , , , , , , , , , , , , , 
c,o,o,l,m,e,s,s,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
n,o,r,t,h,s,t,a,t,e,s,i,n,d,.,c,o,m, , , , , , , , , , , , , , 
v,e,r,t,i,g,e,m,h,q,.,c,o,m,.,b,r, , , , , , , , , , , , , , , 
b,r,u,h,a,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
a,n,m,i,n,i,n,g,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
m,a,g,-,f,o,o,d,.,r,u, , , , , , , , , , , , , , , , , , , , , 
n,i,s,s,a,n,s,i,l,v,i,a,.,c,o,m, , , , , , , , , , , , , , , , 
l,u,b,g,e,n,s,.,e,u, , , , , , , , , , , , , , , , , , , , , , 
l,o,c,a,l,e,r,t,e,.,f,r, , , , , , , , , , , , , , , , , , , , 
m,y,b,o,o,k,s,a,n,d,m,o,r,e,.,c,o,m, , , , , , , , , , , , , , 
s,t,a,m,p,e,r,i,a,.,c,o,m, , , , , , , , , , , , , , , , , , , 
k,v,a,n,t,o,.,l,t, , , , , , , , , , , , , , , , , , , , , , , 
t,h,e,d,r,u,m,s,e,a,r,c,h,a,w,a,r,d,s,.,c,o,m, , , , , , , , , 
t,e,x,t,a,v,a,r,p,.,i,s, , , , , , , , , , , , , , , , , , , , 
d,a,v,i,d,p,h,i,l,l,i,p,s,.,c,o,m, , , , , , , , , , , , , , , 
d,e,n,w,a,-,k,a,n,y,u,k,e,n,.,c,o,m, , , , , , , , , , , , , , 
b,o,x,o,f,f,i,c,e,-,c,e,n,t,e,r,.,c,o,m, , , , , , , , , , , , 
d,c,-,f,u,k,u,s,h,i,m,a,.,j,p, , , , , , , , , , , , , , , , , 
l,a,k,i,o,p,a,s,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
t,h,a,n,k,g,o,d,i,m,n,a,t,u,r,a,l,.,c,o,m, , , , , , , , , , , 
a,r,a,b,d,a,i,l,y,2,4,.,c,o,m, , , , , , , , , , , , , , , , , 
h,o,t,a,t,a,.,t,m,a,l,l,.,c,o,m, , , , , , , , , , , , , , , , 
g,m,j,s,a,v,i,n,g,s,.,c,o,m, , , , , , , , , , , , , , , , , , 
h,o,u,z,i,l,l,a,.,i,n, , , , , , , , , , , , , , , , , , , , , 
n,e,t,o,r,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
e,r,m,a,n,a,k,d,e,n,i,z,.,c,o,m, , , , , , , , , , , , , , , , 
z,u,g,a,r,a,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
i,p,a,s,s,.,m,a, , , , , , , , , , , , , , , , , , , , , , , , 
i,j,c,s,e,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , 
t,e,o,l,o,g,i,e,.,n,e,t, , , , , , , , , , , , , , , , , , , , 
e,r,i,c,p,o,l,.,p,l, , , , , , , , , , , , , , , , , , , , , , 
t,e,c,h,o,v,e,r,l,a,p,.,c,o,m, , , , , , , , , , , , , , , , , 
p,i,m,e,f,a,c,t,u,r,a,.,c,o,m, , , , , , , , , , , , , , , , , 
n,e,t,f,i,l,l,s,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
c,r,o,n,i,c,a,d,e,c,h,i,h,u,a,h,u,a,.,c,o,m, , , , , , , , , , 
m,a,n,s,h,a,g,r,o,u,p,.,i,n, , , , , , , , , , , , , , , , , , 
h,e,a,r,t,g,a,l,l,e,r,y,o,f,a,m,e,r,i,c,a,.,o,r,g, , , , , , , 
s,a,m,u,r,a,i,-,g,o,l,f,.,n,e,t, , , , , , , , , , , , , , , , 
p,r,o,s,e,h,a,t,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
o,p,a,m,o,n,e,y,.,r,u, , , , , , , , , , , , , , , , , , , , , 
m,a,s,r,u,d,i,.,n,e,t, , , , , , , , , , , , , , , , , , , , , 
n,a,p,i,t,.,o,r,g,.,u,k, , , , , , , , , , , , , , , , , , , , 
o,-,s,t,r,a,h,o,v,a,n,i,i,.,c,o,m, , , , , , , , , , , , , , , 
n,l,k,o,r,f,b,a,l,.,n,l, , , , , , , , , , , , , , , , , , , , 
b,v,t,g,r,u,p,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
s,h,o,p,m,i,a,m,i,a,i,r,p,o,r,t,.,c,o,m, , , , , , , , , , , , 
9,1,9,d,v,c,b,g,.,t,e,c,h, , , , , , , , , , , , , , , , , , , 
a,l,c,h,e,m,y,f,o,r,u,m,s,.,c,o,m, , , , , , , , , , , , , , , 
v,i,s,i,t,s,o,u,t,h,e,n,d,.,c,o,.,u,k, , , , , , , , , , , , , 
a,s,a,k,a,-,i,n,d,.,c,o,.,j,p, , , , , , , , , , , , , , , , , 
3,d,m,o,v,i,e,s,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
j,i,k,e,n,c,e,n,t,e,r,.,c,o,.,j,p, , , , , , , , , , , , , , , 
g,o,t,h,a,m,s,o,u,n,d,.,c,o,m, , , , , , , , , , , , , , , , , 
t,h,o,m,m,e,n,-,f,u,r,l,e,r,.,c,h, , , , , , , , , , , , , , , 
k,o,i,r,a,n,a,y,t,t,e,l,y,.,o,r,g, , , , , , , , , , , , , , , 
t,e,d,a,h,r,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
d,e,s,i,g,n,e,r,s,t,e,n,c,i,l,s,.,c,o,m, , , , , , , , , , , , 
o,s,m,a,n,g,u,l,e,r,c,o,b,a,n,.,e,s,y,.,e,s, , , , , , , , , , 
g,l,a,m,o,u,r,b,e,t,.,e,u, , , , , , , , , , , , , , , , , , , 
f,i,l,e,s,m,e,l,t,.,c,o,m, , , , , , , , , , , , , , , , , , , 
l,e,c,e,n,t,r,e,v,i,d,e,o,t,r,o,n,.,c,a, , , , , , , , , , , , 
a,d,d,s,b,i,n,.,c,o,m, , , , , , , , , , , , , , , , , , , , , 
d,a,w,e,s,c,y,c,l,e,s,.,c,o,m, , , , , , , , , , , , , , , , , 
n,e,c,r,o,t,i,c,s,.,c,o,m, , , , , , , , , , , , , , , , , , , 
f,u,e,l,y,o,u,r,c,o,d,i,n,g,.,c,o,m, , , , , , , , , , , , , , 
i,n,t,e,r,m,e,d,i,a,.,f,r, , , , , , , , , , , , , , , , , , , 
d,i,p,m,a,p,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
t,h,e,g,r,e,a,t,b,a,s,i,n,i,n,s,t,i,t,u,t,e,.,o,r,g, , , , , , 
e,m,p,l,o,y,r,i,.,o,r,g, , , , , , , , , , , , , , , , , , , , 
c,r,e,a,t,i,v,e,s,p,a,r,k,s,t,u,d,i,o,s,.,c,o,m, , , , , , , , 
v,a,l,a,r,_,m,o,r,e,k,i,n,k,s,.,l,i,v,e,j,o,u,r,n,a,l,.,c,o,m, 
b,u,s,i,n,e,s,s,t,a,l,e,n,t,g,r,o,u,p,.,c,o,m, , , , , , , , , 
t,h,e,e,x,p,i,r,e,d,m,e,t,e,r,.,c,o,m, , , , , , , , , , , , , 
d,a,v,e,d,o,w,n,s,.,c,o,m, , , , , , , , , , , , , , , , , , , 
j,b,c,s,f,p,g,u,i,d,e,l,i,n,e,.,j,p, , , , , , , , , , , , , , 
c,a,s,h,f,l,o,w,g,r,o,u,p,.,p,l, , , , , , , , , , , , , , , , 
a,p,p,e,r,s,o,n,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
e,v,a,n,c,e,.,c,o,.,j,p, , , , , , , , , , , , , , , , , , , , 
h,o,s,t,b,i,z,z,.,a,s,i,a, , , , , , , , , , , , , , , , , , , 
s,a,h,a,h,e,r,b,a,l,.,o,r,g, , , , , , , , , , , , , , , , , , 
s,t,p,e,t,e,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
w,a,l,d,v,e,r,b,a,n,d,-,o,o,e,.,a,t, , , , , , , , , , , , , , 
g,r,a,t,i,n,g,p,m,p,.,i,r, , , , , , , , , , , , , , , , , , , 
p,a,d,m,a,r,-,s,e,r,v,e,r,.,c,o,m, , , , , , , , , , , , , , , 
r,m,a,x,i,n,t,e,r,n,a,t,i,o,n,a,l,.,c,o,m, , , , , , , , , , , 
p,o,n,t,i,s,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , 
0,1,2,0,-,3,6,5,-,0,2,4,.,c,o,m, , , , , , , , , , , , , , , , 
d,i,a,l,j,o,c,k,e,y,.,c,o,m, , , , , , , , , , , , , , , , , , 
s,u,p,e,r,d,r,y,s,t,o,r,e,.,s,e, , , , , , , , , , , , , , , , 
d,i,m,f,u,t,u,r,e,.,n,e,t, , , , , , , , , , , , , , , , , , , 
t,a,n,i,t,a,-,h,w,.,c,o,.,j,p, , , , , , , , , , , , , , , , , 
i,m,-,c,h,e,c,k,l,i,s,t,.,c,o,m, , , , , , , , , , , , , , , , 
f,f,9,9,9,.,n,e,t, , , , , , , , , , , , , , , , , , , , , , , 
a,r,e,v,m,d,a,h,a,i,a,s,t,a,n,.,n,e,t, , , , , , , , , , , , , 
t,h,e,3,c,r,e,a,t,o,r,.,i,n,f,o, , , , , , , , , , , , , , , , 
f,a,n,t,a,s,y,g,r,l,s,e,x,.,t,u,m,b,l,r,.,c,o,m, , , , , , , , 
r,o,m,a,s,o,t,t,e,r,r,a,n,e,a,.,i,t, , , , , , , , , , , , , , 
o,n,e,n,e,s,s,b,i,o,.,c,o,m,.,t,w, , , , , , , , , , , , , , , 
k,i,c,.,a,c,.,j,p, , , , , , , , , , , , , , , , , , , , , , , 
g,i,n,v,e,n,t,o,r,y,.,c,o, , , , , , , , , , , , , , , , , , , 
h,u,f,.,o,r,g,.,t,w, , , , , , , , , , , , , , , , , , , , , , 
d,j,x,k,x,o,w,o,2,3,.,t,u,m,b,l,r,.,c,o,m, , , , , , , , , , , 
p,z,2,1,.,c,o,m, , , , , , , , , , , , , , , , , , , , , , , , 
r,e,d,d,i,t,c,f,b,.,c,o,m, , , , , , , , , , , , , , , , , , , 
a,v,i,s,b,e,a,u,t,e,.,c,o,m, , , , , , , , , , , , , , , , , , 
t,e,p,t,o,n,l,i,n,e,.,c,o,m, , , , , , , , , , , , , , , , , , 
b,l,a,c,k,j,e,t,.,c,o,m, , , , , , , , , , , , , , , , , , , , 
s,c,r,e,e,n,s,h,o,t,l,i,n,k,.,r,u, , , , , , , , , , , , , , , 
